slot,start_minute,end_minute,interval_label,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,price_source,load_source,pv_source
130,1290,1300,21:30-21:40,0.9871,4428.8083,0.0,738.1347166666666,0.0,附件/附件1.xlsx::Sheet1!B131,附件/附件1.xlsx::Sheet1!C131,附件/附件1.xlsx::Sheet1!D131
131,1300,1310,21:40-21:50,0.7764,4030.1614,0.0,671.6935666666667,0.0,附件/附件1.xlsx::Sheet1!B132,附件/附件1.xlsx::Sheet1!C132,附件/附件1.xlsx::Sheet1!D132
132,1310,1320,21:50-22:00,0.4209,3362.7419,0.0,560.4569833333334,0.0,附件/附件1.xlsx::Sheet1!B133,附件/附件1.xlsx::Sheet1!C133,附件/附件1.xlsx::Sheet1!D133
133,1320,1330,22:00-22:10,0.3859,3309.3934,0.0,551.5655666666667,0.0,附件/附件1.xlsx::Sheet1!B134,附件/附件1.xlsx::Sheet1!C134,附件/附件1.xlsx::Sheet1!D134
134,1330,1340,22:10-22:20,0.4368,3412.9563,0.0,568.82605,0.0,附件/附件1.xlsx::Sheet1!B135,附件/附件1.xlsx::Sheet1!C135,附件/附件1.xlsx::Sheet1!D135
135,1340,1350,22:20-22:30,0.4198,3381.9313,0.0,563.6552166666667,0.0,附件/附件1.xlsx::Sheet1!B136,附件/附件1.xlsx::Sheet1!C136,附件/附件1.xlsx::Sheet1!D136
136,1350,1360,22:30-22:40,0.4186,3386.5592,0.0,564.4265333333334,0.0,附件/附件1.xlsx::Sheet1!B137,附件/附件1.xlsx::Sheet1!C137,附件/附件1.xlsx::Sheet1!D137
137,1360,1370,22:40-22:50,0.4241,3400.4846,0.0,566.7474333333333,0.0,附件/附件1.xlsx::Sheet1!B138,附件/附件1.xlsx::Sheet1!C138,附件/附件1.xlsx::Sheet1!D138
138,1370,1380,22:50-23:00,0.4237,3399.2426,0.0,566.5404333333333,0.0,附件/附件1.xlsx::Sheet1!B139,附件/附件1.xlsx::Sheet1!C139,附件/附件1.xlsx::Sheet1!D139
139,1380,1390,23:00-23:10,0.4248,3406.9809,0.0,567.83015,0.0,附件/附件1.xlsx::Sheet1!B140,附件/附件1.xlsx::Sheet1!C140,附件/附件1.xlsx::Sheet1!D140
140,1390,1400,23:10-23:20,0.424,3416.1518,0.0,569.3586333333334,0.0,附件/附件1.xlsx::Sheet1!B141,附件/附件1.xlsx::Sheet1!C141,附件/附件1.xlsx::Sheet1!D141
141,1400,1410,23:20-23:30,0.422,3421.9811,0.0,570.3301833333334,0.0,附件/附件1.xlsx::Sheet1!B142,附件/附件1.xlsx::Sheet1!C142,附件/附件1.xlsx::Sheet1!D142
142,1410,1420,23:30-23:40,0.424,3429.6923,0.0,571.6153833333334,0.0,附件/附件1.xlsx::Sheet1!B143,附件/附件1.xlsx::Sheet1!C143,附件/附件1.xlsx::Sheet1!D143
143,1420,1430,23:40-23:50,0.4271,3439.061,0.0,573.1768333333333,0.0,附件/附件1.xlsx::Sheet1!B144,附件/附件1.xlsx::Sheet1!C144,附件/附件1.xlsx::Sheet1!D144
144,1430,1440,23:50-24:00,0.4276,3444.7259,0.0,574.1209833333334,0.0,附件/附件1.xlsx::Sheet1!B145,附件/附件1.xlsx::Sheet1!C145,附件/附件1.xlsx::Sheet1!D145
